INPUT,FOUND_BY,DTXCID_INDIVIDUAL_COMPONENT,FORMULA_INDIVIDUAL_COMPONENT,SMILES_INDIVIDUAL_COMPONENT,MAPPED_DTXSID,PREFERRED_NAME_DTXSID,CASRN_DTXSID,FORMULA_MAPPED_DTXSID,SMILES_MAPPED_DTXSID,MS_READY_SMILES,INCHI_STRING_DTXCID,INCHIKEY_DTXCID,MONOISOTOPIC_MASS_DTXCID
C4H3F7,MS Ready Formula,DTXCID30393836,C4H3F7,FC(F)CC(F)(F)C(F)(F)F,DTXSID60443015,"1,1,1,2,2,4,4-Heptafluorobutane",161791-36-2,C4H3F7,FC(F)CC(F)(F)C(F)(F)F,FC(F)CC(F)(F)C(F)(F)F,"InChI=1S/C4H3F7/c5-2(6)1-3(7,8)4(9,10)11/h2H,1H2",RHVGXXQQIJMCMW-UHFFFAOYSA-N,184.0122972
C4H3F7,MS Ready Formula,DTXCID50972627,C4H3F7,FCC(F)(F)C(F)C(F)(F)F,DTXSID50510942,"1,1,1,2,3,3,4-Heptafluorobutane",53005-35-9,C4H3F7,FCC(F)(F)C(F)C(F)(F)F,FCC(F)(F)C(F)C(F)(F)F,"InChI=1/C4H3F7/c5-1-3(7,8)2(6)4(9,10)11/h2H,1H2",LHIHPLUYVRLEBM-UHFFFAOYSA-N,184.0122972
C4HF9,MS Ready Formula,DTXCID30330726,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID20379700,1H-Nonafluorobutane,375-17-7,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H",ZQTIKDIHRRLSRV-UHFFFAOYSA-N,219.9934535
C4HF9,MS Ready Formula,DTXCID30330726,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID60541222,"Cadmium bis(1,1,2,2,3,3,4,4,4-nonafluorobutan-1-ide)",93367-04-5,C8CdF18,[Cd++].F[C-](F)C(F)(F)C(F)(F)C(F)(F)F.F[C-](F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H",ZQTIKDIHRRLSRV-UHFFFAOYSA-N,219.9934535
C4HF9,MS Ready Formula,DTXCID80114073,C4HF9,FC(F)(F)C(C(F)(F)F)C(F)(F)F,DTXSID40191582,"2-(Trifluoromethyl)-1,1,1,3,3,3-hexafluoropropane",382-24-1,C4HF9,FC(F)(F)C(C(F)(F)F)C(F)(F)F,FC(F)(F)C(C(F)(F)F)C(F)(F)F,"InChI=1S/C4HF9/c5-2(6,7)1(3(8,9)10)4(11,12)13/h1H",IMRLDNHHTCXOOR-UHFFFAOYSA-N,219.9934535
C4HF9,MS Ready Formula,DTXCID30330726,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30507633,"Magnesium bromide 1,1,2,2,3,3,4,4,4-nonafluorobutan-1-ide (1/1/1)",82416-69-1,C4BrF9Mg,[Mg++].[Br-].F[C-](F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H",ZQTIKDIHRRLSRV-UHFFFAOYSA-N,219.9934535
C4HF9,MS Ready Formula,DTXCID30330726,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID00544914,"Copper(1+) 1,1,2,2,3,3,4,4,4-nonafluorobutan-1-ide",124521-58-0,C4CuF9,[Cu+].F[C-](F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H",ZQTIKDIHRRLSRV-UHFFFAOYSA-N,219.9934535
C4H2F8,MS Ready Formula,DTXCID1039391,C4H2F8,FC(F)C(F)(F)C(F)(F)C(F)F,DTXSID0073900,"1H,4H-Octafluorobutane",377-36-6,C4H2F8,FC(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)F,"InChI=1S/C4H2F8/c5-1(6)3(9,10)4(11,12)2(7)8/h1-2H",LKLFXAVIFCLZQS-UHFFFAOYSA-N,202.0028754
C4H2F8,MS Ready Formula,DTXCID80869293,C4H2F8,FC(F)C(F)C(F)(F)C(F)(F)F,DTXSID50618977,"1,1,1,2,2,3,4,4-Octafluorobutane",119450-58-7,C4H2F8,FC(F)C(F)C(F)(F)C(F)(F)F,FC(F)C(F)C(F)(F)C(F)(F)F,"InChI=1/C4H2F8/c5-1(2(6)7)3(8,9)4(10,11)12/h1-2H",JXYDBXYONJOCIH-UHFFFAOYSA-N,202.0028754
C4H2F8,MS Ready Formula,DTXCID00518231,C4H2F8,FC(F)C(C(F)(F)F)C(F)(F)F,DTXSID10567457,"2-(Difluoromethyl)-1,1,1,3,3,3-hexafluoropropane",382-20-7,C4H2F8,FC(F)C(C(F)(F)F)C(F)(F)F,FC(F)C(C(F)(F)F)C(F)(F)F,"InChI=1S/C4H2F8/c5-2(6)1(3(7,8)9)4(10,11)12/h1-2H",GJGZORLNAVPVBT-UHFFFAOYSA-N,202.0028754
C4H2F8,MS Ready Formula,DTXCID90573834,C4H2F8,FC(F)C(F)(C(F)F)C(F)(F)F,DTXSID90623080,"2-(Difluoromethyl)-1,1,1,2,3,3-hexafluoropropane",65781-21-7,C4H2F8,FC(F)C(F)(C(F)F)C(F)(F)F,FC(F)C(F)(C(F)F)C(F)(F)F,"InChI=1S/C4H2F8/c5-1(6)3(9,2(7)8)4(10,11)12/h1-2H",JHNVZNKTGCNIRI-UHFFFAOYSA-N,202.0028754
C5H5F7,MS Ready Formula,DTXCID90425384,C5H5F7,CCC(F)(F)C(F)(F)C(F)(F)F,DTXSID50474570,"1,1,1,2,2,3,3-Heptafluoropentane",30423-63-3,C5H5F7,CCC(F)(F)C(F)(F)C(F)(F)F,CCC(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C5H5F7/c1-2-3(6,7)4(8,9)5(10,11)12/h2H2,1H3",YLXMZWSVIPOWNY-UHFFFAOYSA-N,198.0279473
C4H2ClF7,MS Ready Formula,DTXCID90113330,C4H2ClF7,FC(F)(F)C(F)(F)C(F)(F)CCl,DTXSID00190839,"1,1,1,2,2,3,3-Heptafluoro-4-chlorobutane",374-97-0,C4H2ClF7,FC(F)(F)C(F)(F)C(F)(F)CCl,FC(F)(F)C(F)(F)C(F)(F)CCl,"InChI=1S/C4H2ClF7/c5-1-2(6,7)3(8,9)4(10,11)12/h1H2",SZBKCQKJQAYJJN-UHFFFAOYSA-N,217.9733249
