DTXSID,Class,SMILES,CODE,FUNC_GROUP,PFAS_PART,N_PFAS_PART
DTXSID00881351,SO2,OCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FBSE,OCCN,S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID1032646,SO2,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EtFOSE,CCN,S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID10624392,SO2,CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeFOSAA,CN(CC(O)=O),S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID1067629,SO2,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeFOSA,CN,S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID1070511,SO2,CN(CCOC(=O)C(C)=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeFPeSEMA,CN(CCOC(=O)C(C)=C),S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID1070854,SO2,CCN(CCOP(O)(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EtFHpSAmPAP ester,CCN(CCOP(O)(O)=O),S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID1071668,SO2,CCOC(=O)CN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSFDNoName1,CCOC(=O)CN(CC),S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID10893283,SO2,CC(COC(=O)C(C)=C)O\C(O)=N\C1=C(C)C=CC(=C1)\N=C(/O)OCCCCNCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSFDNoName2,CC(COC(=O)C(C)=C)O\C(O)=N\C1=C(C)C=CC(=C1)\N=C(/O)OCCCCNC,S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID20330472,SO2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)CS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSFDNoName3,C,S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2
DTXSID2070502,SO2,CCN(CCC[Si](Cl)(Cl)Cl)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSFDNoName4,CCN(CCC[Si](Cl)(Cl)Cl),S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID00192353,CC,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8:2 FTSA,OS(=O)(=O),CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID1062122,CC,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4:2 FTOH,O,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
DTXSID20337446,CC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,8:2 FTSH,S,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC,1
DTXSID20858545,CC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6:2 triPAP,OP(=O)(O)O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC,3
DTXSID9038840,CC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,6:2 FTA,OC(=O)C=C,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC,1
DTXSID8061979,CC,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4:2 FTMA,CC(=C)C(=O)O,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
